2026-05-04 01:15:38 | INFO     | hermes | 日志文件：/Volumes/d/hermes/backend/storage/logs/hermes.log（级别 INFO）
2026-05-04 01:47:47 | INFO     | hermes.http | ← GET /api/timelines/3cc60e49-87df-43d7-9278-ba2a38cc90db/manifest 200 23.8ms
2026-05-04 01:47:47 | INFO     | hermes.http | ← GET /api/chat/3cc60e49-87df-43d7-9278-ba2a38cc90db/messages 200 9.2ms
2026-05-04 14:19:54 | INFO     | hermes.http | → GET /
2026-05-04 14:19:54 | INFO     | hermes.http | ← GET / 200 10.2ms
2026-05-04 14:19:55 | INFO     | hermes.http | → GET /assets/index-C69sH78A.js
2026-05-04 14:19:55 | INFO     | hermes.http | → GET /assets/index-BA2rVjBh.css
2026-05-04 14:19:55 | INFO     | hermes.http | ← GET /assets/index-BA2rVjBh.css 304 5.1ms
2026-05-04 14:19:55 | INFO     | hermes.http | ← GET /assets/index-C69sH78A.js 304 8.5ms
2026-05-04 14:19:55 | INFO     | hermes.http | → GET /api/videos
2026-05-04 14:19:55 | INFO     | hermes.http | → GET /favicon.ico
2026-05-04 14:19:55 | INFO     | hermes.http | ← GET /favicon.ico 200 24.6ms
2026-05-04 14:19:55 | INFO     | hermes.http | ← GET /api/videos 200 40.8ms
2026-05-04 14:19:55 | INFO     | hermes.http | → GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4
2026-05-04 14:19:55 | INFO     | hermes.http | → GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4/timelines
2026-05-04 14:19:55 | INFO     | hermes.http | ← GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4 200 9.5ms
2026-05-04 14:19:55 | INFO     | hermes.http | ← GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4/timelines 200 19.4ms
2026-05-04 14:19:55 | INFO     | hermes.http | → GET /api/chat/3cc60e49-87df-43d7-9278-ba2a38cc90db/messages
2026-05-04 14:19:55 | INFO     | hermes.http | → GET /api/timelines/3cc60e49-87df-43d7-9278-ba2a38cc90db/manifest
